Sigla,Nome,Ano/Semestre,AU,TR,AU+TR,EXT,FREQ,NOTA,student_id
SCC0261,Multimídia,2025/1,2,0,2,30,87.0,9.3,3
SME0104,Cálculo Numérico,2025/1,4,0,4,60,90.0,7.0,3
SME0121,Processos Estocásticos,2025/1,4,0,4,60,100.0,8.2,3
SSC0130,Engenharia de Software,2025/1,4,1,5,90,100.0,9.4,3
SSC0142,Redes de Computadores,2025/1,4,2,6,120,80.0,7.8,3
SCC0200,Informação Profissional e Tutoria Acadêmica em Ciências da Computação,2023/1,2,0,2,0,90.0,9.0,4
SCC0221,Introdução à Ciência de Computação I,2023/1,4,1,5,10,97.0,7.9,4
SCC0222,Laboratório de Introdução à Ciência de Computação I,2023/1,2,2,4,0,100.0,8.4,4
SMA0300,Geometria Analítica,2023/1,4,0,4,0,100.0,7.8,4
SMA0353,Cálculo I,2023/1,4,0,4,0,100.0,10.0,4
SSC0104,Evolução Histórica da Computação e Aplicações,2023/1,2,1,3,30,100.0,10.0,4
SSC0109,Prática em Lógica Digital,2023/1,2,1,3,0,90.0,8.5,4
SSC0117,Introdução à Lógica Digital,2023/1,2,1,3,0,100.0,8.0,4
SSC0180,Eletrônica para Computação,2023/1,2,2,4,10,100.0,10.0,4
7600105,Física Básica I,2023/2,4,0,4,0,100.0,7.9,4
SCC0201,Introdução à Ciência de Computação II,2023/2,4,2,6,0,100.0,10.0,4
SCC0202,Algoritmos e Estruturas de Dados I,2023/2,4,2,6,0,93.0,8.8,4
SCC0220,Laboratório de Introdução à Ciência da Computação II,2023/2,4,0,4,0,100.0,9.6,4
SMA0180,Matemática Discreta I,2023/2,4,0,4,0,100.0,9.2,4
SMA0354,Cálculo II,2023/2,4,0,4,0,100.0,6.9,4
SSC0108,Prática em Sistemas Digitais,2023/2,2,1,3,0,100.0,10.0,4
SSC0118,Sistemas Digitais,2023/2,2,1,3,0,100.0,9.1,4
7600109,Laboratório de Fisica Geral I,2024/1,2,0,2,0,83.0,7.6,4
SCC0215,Organização de Arquivos,2024/1,3,2,5,0,94.0,8.7,4
SCC0216,Modelagem Computacional em Grafos,2024/1,2,1,3,0,100.0,9.1,4
SMA0355,Cálculo III,2024/1,4,0,4,0,100.0,7.5,4
SSC0103,Programação Orientada a Objetos,2024/1,2,1,3,0,100.0,8.7,4
SSC0119,Prática em Organização de Computadores,2024/1,2,1,3,0,75.0,10.0,4
SSC0902,Organização e Arquitetura de Computadores,2024/1,4,1,5,15,93.0,8.8,4
SSC0960,Programação Funcional,2024/1,2,1,3,0,100.0,9.6,4
SCC0218,Algoritmos Avançados e Aplicações,2024/2,2,2,4,5,100.0,7.5,4
SCC0271,Introdução à Bioinformática,2024/2,2,1,3,0,100.0,8.9,4
SCC0911,Tópicos Avançados em Ciências de Computação II,2024/2,3,2,5,0,100.0,9.0,4
SMA0356,Cálculo IV,2024/2,4,0,4,0,70.0,8.0,4
SME0123,Estatística,2024/2,4,1,5,0,100.0,8.6,4
SME0142,Álgebra Linear e Aplicações,2024/2,4,0,4,0,93.0,10.0,4
SSC0124,Análise e Projeto Orientados a Objetos,2024/2,2,1,3,15,75.0,7.8,4
SSC0140,Sistemas Operacionais I,2024/2,4,2,6,30,100.0,8.3,4
SSC0713,Sistemas Evolutivos e Aplicados à Robótica,2024/2,2,2,4,10,100.0,10.0,4
SSC0958,Criptomoedas e Blockchain,2024/2,4,2,6,0,82.0,9.1,4
SCC0219,Introdução ao Desenvolvimento Web,2025/1,4,1,5,10,97.0,8.4,4
SCC0240,Bases de Dados,2025/1,4,2,6,0,96.0,9.2,4
SCC0261,Multimídia,2025/1,2,0,2,0,80.0,9.1,4
SME0104,Cálculo Numérico,2025/1,4,0,4,0,100.0,9.5,4
SME0121,Processos Estocásticos,2025/1,4,0,4,0,80.0,8.5,4
SME0130,Redes Complexas,2025/1,4,2,6,0,100.0,10.0,4
SSC0130,Engenharia de Software,2025/1,4,1,5,15,100.0,8.4,4
SSC0142,Redes de Computadores,2025/1,4,2,6,30,80.0,7.7,4
